days,close_0,ret_0,volume_0,close_1,ret_1,volume_1,close_2,ret_2,volume_2,close_3,ret_3,volume_3,close_4,ret_4,volume_4,close_5,ret_5,volume_5,close_6,ret_6,volume_6,close_7,ret_7,volume_7
8108,32.817072295660736,-0.08982997281095917,468.0,-6.464028106999462,0.9666321712916499,535.0,43.658013957907265,0.1486288579291308,724.0,-4.155308485992532,1.1890200586752584,1762.0,-4.819698883005313,1.6134184621703909,269.0,-3.604924651270111,0.2792547265068407,1129.0,52.060783005873255,0.07434187098858457,866.0,-5.7971674281363725,0.6324182648876018,1097.0
8109,33.491658718779206,0.6745864231184724,608.0,-6.553255633857934,-0.0892275268584727,304.0,43.14328181448934,-0.5147321434179266,752.0,-3.9675714921837013,0.18773699380883094,1930.0,-5.3438039682177,-0.5241050852123873,209.0,-3.706471824545326,-0.10154717327521479,893.0,51.54831938586091,-0.5124636200123469,857.0,-5.691764383988439,0.10540304414793364,935.0
8110,32.855076143601224,-0.6365825751779816,657.0,-6.508643761403285,0.04461187245464943,1751.0,42.19766044202983,-0.9456213724595125,735.0,-3.7923483881735263,0.1752231040101751,1668.0,-5.271868456545334,0.07193551167236543,168.0,-4.2649812775590075,-0.5585094530136814,1238.0,50.7887109911797,-0.7596083946812112,871.0,-6.640391781319842,-0.9486273973314027,1009.0
8113,32.6171155143085,-0.23796062929272166,814.0,-6.379758715507896,0.1288850458953881,1790.0,42.0304055714595,-0.16725487057033073,662.0,-3.3855777398804774,0.40677064829304876,2149.0,-5.754865434985278,-0.48299697843994355,191.0,-4.061886931008578,0.20309434655042957,1196.0,50.79367195587783,0.004960964698131457,770.0,-6.763361999492431,-0.12297021817258924,1213.0
8114,30.567006602853198,-2.0501089114553053,1656.0,-6.8457251093187175,-0.4659663938108212,2011.0,40.796968776917026,-1.233436794542469,818.0,-3.91750638404608,-0.5319286441656027,2409.0,-5.127997433200603,0.6268680017846745,177.0,-3.7826322045017373,0.2792547265068407,909.0,49.613123689907844,-1.1805482659699817,944.0,-5.990406342407584,0.7729556570848466,625.0
8115,30.6188294327828,0.05182282992960297,832.0,-6.672224409019506,0.17350070029921136,1846.0,40.840129238879456,0.043160461962428814,780.0,-3.8298948320409925,0.08761155200508755,1995.0,-5.261592654912027,-0.13359522171142363,258.0,-3.24950954480686,0.5331226596948776,1176.0,49.77303615198225,0.15991246207440327,905.0,-5.024211771051526,0.9661945713560584,615.0
8116,31.433345404569277,0.8145159717864772,723.0,-6.602825641679491,0.06939876734001502,1596.0,42.037908553414226,1.1977793145347668,813.0,-3.3668045179467443,0.46309031409424833,1378.0,-5.652102518412991,-0.39050986350096367,36698.0,-3.300283131444467,-0.05077358663760739,1043.0,50.68298194354001,0.9099457915577575,937.0,-5.410689599593949,-0.3864778285424233,490.0
8117,31.00190255272466,-0.4314428518446174,563.0,-6.647441296083314,-0.04461565440382327,1311.0,42.0970446351964,0.059136081782171564,778.0,-3.4293835158830213,-0.06257899793627698,798.0,-7.029157942060456,-1.3770554236474652,7553.0,-2.9448680249812154,0.35541510646325175,1308.0,50.781112245251826,0.09813030171181979,821.0,-4.374226332139268,1.0364632674546808,354.0
8120,30.4525601268375,-0.5493424258871564,581.0,-6.414458099177903,0.2329831969054106,1824.0,41.64885674471525,-0.44818789048114543,759.0,-3.0977105297964043,0.331672986086617,84.0,-6.895562720349032,0.13359522171142363,1637.0,-2.640226505155571,0.30464151982564436,153.0,50.05884418485948,-0.7222680603923486,952.0,-3.179658498462687,1.1945678336765813,50.0
8121,31.315445830526734,0.8628857036892348,497.0,-7.068792035490311,-0.6543339363124085,1678.0,42.32307789225755,0.6742211475422967,734.0,-3.0977105297964043,0.0,2014.0,-7.666301745478437,-0.7707390251294053,897.0,-2.208651018735908,0.43157548641966287,59.0,50.28186979782524,0.22302561296575368,905.0,-1.9675234907614503,1.2121350077012367,12.0
